coin,snapshot height,amount
ETH(ALL),-,6
USDT(ALL),-,5569
USDT-TRC20,46095694,5436.9044
ETH,16005122, 5.2834
USDT-POLY,35807652,0
USDT-AVAXC,22578912,0
ETH-ARBITRUM,39362849, 0.2214
ETH-OPTIMISM,39762040,1.3971
USDT-ERC20,16005122,0
USDT-ARBITRUM,39363197,0
USDT-OPTIMISM,39762261,132.5138
BTC,763861,449.5140

coin,address,amount,message,signature1,signature2,redeem script/ public key
ETH,0x1cc972c8f64678fb8c745f11e4f2ed74b9417024,54050260196082176,I am an OKX address,0xd0f00e1fe03179bb148dc570efc1a67516eea67cd04c528f64ce15eb90d1fa647c118a9c0a103c7288df17a8ec87978366bb1f0e96f1192ff1f296d5088264b71b,null,
BTC,bc1qxmaqqg9az39uj8pxf6qckqhu2awquhlg24zg4897mv6wnj8aw97svxgu3r,8021581241,I am an OKX address,H8E34uQYdLQt7ksNHU0lgvbM7RqitoAJKRjV0Bkin6GSVSXf3a5OqUy0vl5jbcli59K9JWVBCXJ/f7ALfBDTqzw=,IJNLvxfSW4K2Wh52LVMV3z9v8VWgtlsJM39A9Y/Uon7gfPOWCxkn0PZFWovkReLP68JWp4f9Z/M4vR46rTc7PIw=,522102597050a09e0870c5d4a75474066317f9f32933759b12a4ebf504a0200fe1e53e210245e21141fe953a5016f64ff07c2f5f5180a7fcae4971f748eb9bff67e49695af21020da39b913461ef63a3daa6c07e221901201f01334520f22bf2d0129249eacec153ae
BTC,bc1qjyxh8cpsrpe8tn3epklsa28e2txmuyqpky2fq8vjw4ut3ud2884sshmdvt,11827799780,I am an OKX address,HwwvvYFQDwzzEJ8MGQSF6h9etCnR+XQtb9EAYu3UL61/ZHrTdDPczVbceHH5FMH+iDFEsMvRS3FCI1DrIDTnKEc=,HzmnM8ngbgtjaWv+yePkgvVyvdvQQRCqYX7T1tV31yLnbxlOVigIaPYHNQkTPgIlQ4BmckukKmJtwqJA87J/qQE=,522102c0778fe9740a6abcd8b3151e0e801cc011f17137243d0d0f49824f39f3e8d28021027b78724f2c4d1e2fe4d13a8f4ace3b468917b943e5c8cf5e6f1f15388bb317f1210364fac61f0e096cd3a430fe46cd3c5040159e79ca397e749b8b42b6cf02f42bc853ae
BTC,35qCockmtW6dNNWuQzZyZEtaqJHuXcbqYy,6799770,I am an OKX address,IN+ATKixTBQbfDzShqFek1eTplkDImtgrWKXKxsl/GlFcCiL9VuszyRZyzbZSVQjRDrz7dvui4Jj5ydsVEyn+9g=,H6dA8+WnYLNWo4gOfWrYr8Y7hC8xRSPTqvZ5EKqy+4ZWIV7hGb5+MlhTYdPmO4KZZN7gpqtiNZG4NCTklhO6wdY=,52210381d03edec7cac1f89a52958610f2744c2cebab6faa65846578812946331302632103e51a873de28a85762bb0b991d41be2655f0695de85efe6271cdba7e2cee788ab2103da2dbe3bcf2936341913f0fd52e09c5684336e82133fd64bcf9244fae9952d0f53ae
BTC,bc1q0zfx8k7fqkhvvytwf5z6nrv75wq6c74tql8hcl9wwj9xj8zq7snskl60vr,500000000,I am an OKX address,IKncwPj4e8mblzKTJQv+96BM61xExsknCdJQua+lXt8iVemeAoDA7kzsNCI+/H6r6Co8n171wcVBNS8YISgAopo=,H8zRn9PppmvdL9BzUzncu2FAUhB+f/3BTW0EMRW7b1XjYL7mavOj803od+J8GTkh6pw/txG9GhMX+x3mE+cIhTo=,522103e965ddf10ccd7f88cae925becdf4b15f71c69a962fb4c0119dc6db97fcbcde622103042bcc9af1c48a57d71fbfe95b4abd92aead10f8a1d92661bffd1686557a765421025d1a944f95ad9803c357c856c95d562d5bb05d7fb36100909ad9ca2d8025072753ae
BTC,bc1qlf6rlujf3prsje3c3e0053nzkwmvn3lrpaufvz8v2dkskh4ufz2suun26m,9178439090,I am an OKX address,Hxp2oj46zSo4o6RBP5XfxQzwlQSOq50oK3Ik6TTUBDjGdtbPR/7/hz1PIM6YaNCGzsso1n6lkPsA1AMnY2tnZgA=,H4arvpEZmG+yQ2kzWepwlgDTBTq3/ChMLpQUT7sk77IeO3rLmEBMUFdH3cKruGmGrHC1ylpg0g+M0Yf0T5GRTFU=,522102013cc56f570b2ac0906eea2c86bf77286a78d896b07248a5eb83d8c0d5e4afc821031df7a526d6ac5c7a061f625fbc0ef9a38635f0174d80a1ab772bc4f1b7ad2e392102ba58f154e7639f36ce46ed01110ee773ffe4e31f5311c96e0ab6362f648a3ef653ae
BTC,bc1qqh36fmxtlm3tvceyx684fx7mwhladqh0dc6glfuj0pkuknafjc5s2m8d34,8021576541,I am an OKX address,H9psXATFfO/jDhUOGrKjlA5FQkljhwEA7IaJzYwFUv/sJKe8vII/90jI7czgQ3ANXilgeKhBfRB/sit8T40nqks=,IGRakv2OHo4wLn/gFhF/53fHkZ0+8+zWVZrGSQFX+ul2WTyKjC7iR0BEsNSNm73hB/UF5fXgACzfpdSKloEx1ig=,52210208d80f0ab51e34c45ac01e63131ede53b5c8a62005cc5d607ef09e4b7cf6a5bf210291819ea3b7d820d13536dcce73176c896bd9e7cc8a1d2800c47bb7da2c36f68e2102edd5d9f7a3bcacdb88d6ee938ca3a19d45bebc3ae04941816d3a988717d03ad653ae
BTC,bc1qz22jms20dnp4kj3mytn8em7qwmezq9j3k0l035srftx4ez4rwv5q6pfnyz,7371934459,I am an OKX address,H+YaK6DJhvXo0Q3+62bfNYTfJs1PqMgqMxNuZcLYz4zJWHUvuRW86O2zbO4avOM6Z1uUsX65ZDsUjz1l8agGQ6o=,IPpytLYZcB/EwDhQpfzomrvUYrd++WPe2rCnWGp1PoqTUl6tspDPTYM6USa0zaD0Lsnsh8/IoXIf08C4KuRq0jQ=,522103ea416a2cae50937caf1a48619d030a9980ff4332942a4cebe162dd74dc11946a2103afd3eb34ac5f189f1119369f1a7e59004ca9d3853bb44801c065ae3a01e58c64210256f8ab483c65e7e55593ec5ff220fdc48ddc3168d0c7bcdff2dd22508d86d89853ae
BTC,33BAzjr56Zzfv9o9dvVTnwrSE6ENaMwVXW,6005767,I am an OKX address,H8EFjmy7CTp5PbvKQ1d6mgU4XDu/aOz9lH9smHtmk3OUNccgXV2A8GREONDxvI6ZHAsn46pH7bj9eL5967zqLAY=,H9YdLd3v8ta5SalwqF7O7emak1iyO4j5SVS1IiV0Vze8JDTOEmfhKnQwr54Hc/+cnlT3tQO+ExuOjpMvjnoizjY=,5221039a71b3c773766d4314e541a16a2eb135d89ccf93ec35e01512c3561a30bfd3be21029d7a07115d18dcdaafccbb1404ee4fee31278c3c03e691fa83d7360ea5487cc021035864c8ca52b583e132c9463292668ccd677b21bf1db00b6b924b458de3eb844953ae
ETH-ARBITRUM,0xbcf64922c9d3a35b31ead4c8cc7fb51eb84ebaa1,79000000000000000,I am an OKX address,0x0fc44e278792a4d1d046464fefb486541802e04208adc7e8619e27125dd542e568d67e84a02f24158cb0c24cd0153b9458baf98997dfa0cd48410cd30b214a7a1c,null,
ETH-ARBITRUM,0x223fb9969fa8d9988eb760d40259e2d3f7b583ba,83000000000000000,I am an OKX address,0x2aade22bda4549e58f811fadedb10fe278db76c3771864e5a3c64ab236cc4d984f9eeb02038ab5e2535cdb9d0d07ee52bca9631a96548632cce3e48e5360fadc1c,null,

